,Top-Level Management Support,Project Planning,Team Commitment,Team Communication,Team Morale,Average Team Experience,Budget,Schedule,Overall success
0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,0.752
1,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,0.73
2,2.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,0.6940000000000001
3,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,0.658
4,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,0.648
5,2.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,0.648
6,5.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,0.636
7,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,0.636
8,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,0.624
9,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,0.624
10,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,0.624
11,4.0,4.0,5.0,5.0,5.0,5.0,0.0,2.0,0.624
12,3.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,0.612
13,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,0.612
14,2.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,0.6
15,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,0.6
16,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,0.6
17,3.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,0.6
18,4.0,3.0,4.0,4.0,,3.0,3.0,3.0,0.588
19,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,0.588
20,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,0.588
21,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,0.588
22,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,0.588
23,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,0.588
24,5.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,0.576
25,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.576
26,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,0.576
27,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,0.576
28,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,0.576
29,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,0.564
30,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,0.564
31,1.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,0.564
32,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0.564
33,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0.564
34,3.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,0.5519999999999999
35,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.5519999999999999
36,4.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,0.5519999999999999
37,5.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,0.5519999999999999
38,5.0,2.0,4.0,5.0,3.0,2.0,1.0,,0.5519999999999999
39,3.0,4.0,3.0,4.0,5.0,3.0,2.0,1.0,0.542
40,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,0.542
41,4.0,5.0,4.0,2.0,3.0,1.0,2.0,4.0,0.542
42,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,0.542
43,2.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,0.53
44,1.0,5.0,5.0,4.0,2.0,5.0,1.0,1.0,0.53
45,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,0.518
46,,5.0,4.0,4.0,2.0,3.0,3.0,1.0,0.518
47,5.0,4.0,5.0,5.0,4.0,5.0,,2.0,0.518
48,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.506
49,5.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.506
