,pID,Budget,Overall Deadline,Budget Elapsed,Time Elapsed,Proportion Subdeadlines Met,Commits,Defect Fix Rate,Team Communication,Team Commitment,Team Morale,Project Planning,Top-Level Management Support,Average Team Experience,Team Size,Finance Success,Timescale Success,Team Success,Management Success,Code Success,Success
0,0,439096,288,1.0218494361141983,0.2152777777777778,1.0,1246,0.9863234111021721,2.63,1.32,1.94,3.86,2.32767,3.130434782608696,23,0,1,0,1,1,1
1,0,439096,288,0.0017945961703135533,0.05555555555555555,0.0,0,0.0,2.63,1.32,1.94,3.86,2.33,3.130434782608696,23,0,1,0,1,1,1
2,0,439096,288,0.8742735073879061,0.19444444444444445,1.0,1059,0.9862559241706161,2.63,1.32,1.94,3.86,2.33,3.130434782608696,23,0,1,0,1,1,1
3,0,439096,288,0.17468161859821088,0.09722222222222222,0.0,213,0.9224030037546934,2.63,1.32,1.94,3.86,2.33,3.130434782608696,23,0,1,0,1,1,1
4,0,439096,288,0.002158981179514275,0.06597222222222222,0.0,0,0.0,2.63,1.32,1.94,3.86,2.33,3.130434782608696,23,0,1,0,1,1,1
0,1,417990,118,1.2289026053254863,0.8813559322033898,0.5714285714285714,1397,0.9935364727608494,3.62,1.33,2.72,1.18,4.866603372927421,3.1818181818181817,11,0,1,0,0,1,1
1,1,417990,118,1.0907414052967774,0.788135593220339,0.5,1236,0.9925249169435216,3.62,1.33,2.72,1.18,4.9204586025869235,3.1818181818181817,11,0,1,0,0,1,1
2,1,417990,118,1.1409818416708535,0.8220338983050848,0.5714285714285714,1291,0.9922848664688427,3.62,1.33,2.72,1.18,4.900806271251278,3.1818181818181817,11,0,1,0,0,1,1
3,1,417990,118,0.3463910619871289,0.2966101694915254,0.0,398,0.9895126465144972,3.62,1.33,2.72,1.18,4.96,3.1818181818181817,11,0,1,0,0,1,1
4,1,417990,118,0.37151128017416685,0.3135593220338983,0.0,427,0.9723502304147466,3.62,1.33,2.72,1.18,4.96,3.1818181818181817,11,0,1,0,0,1,1
0,2,1845,74,318.91761517615174,1.1216216216216217,0.0,1881,0.9937182171702064,1.3,2.26,1.79,4.21,3.415913680695578,3.35,20,0,1,0,0,1,0
1,2,1845,74,82.82330623306233,0.5405405405405406,0.0,486,0.9527896995708155,1.3,2.26,1.79,4.21,3.5660784578304474,3.35,20,0,1,0,0,1,0
2,2,1845,74,159.73658536585367,0.7297297297297297,0.0,937,0.9810178817056396,1.3,2.26,1.79,4.21,3.5164765780704403,3.35,20,0,1,0,0,1,0
3,2,1845,74,351.60054200542004,1.2027027027027026,0.0,2073,0.9916837082481255,1.3,2.26,1.79,4.21,3.39546936904956,3.35,20,0,1,0,0,1,0
4,2,1845,74,358.1777777777778,1.2162162162162162,0.0,2108,0.9870320855614974,1.3,2.26,1.79,4.21,3.3920738996805104,3.35,20,0,1,0,0,1,0
0,3,35150,142,0.8900711237553343,0.2746478873239437,0.0,78,0.993421052631579,1.89,3.1,3.31,1.84,2.67,5.0,1,0,0,0,0,0,0
1,3,35150,142,2.5153058321479373,0.7746478873239436,0.0,247,0.9986702127659575,1.89,3.1,3.31,1.84,2.499386871501332,5.0,1,0,0,0,0,0,0
2,3,35150,142,3.2135419630156474,0.9647887323943662,0.0,316,1.0,1.89,3.1,3.31,1.84,2.4327734437192965,5.0,1,0,0,0,0,0,0
3,3,35150,142,1.8808250355618776,0.5985915492957746,0.0,188,0.988909426987061,1.89,3.1,3.31,1.84,2.562691206201954,5.0,1,0,0,0,0,0,0
4,3,35150,142,0.11738264580369843,0.07746478873239436,0.0,11,1.0,1.89,3.1,3.31,1.84,2.67,5.0,1,0,0,0,0,0,0
0,4,224204,247,1.43784232217088,0.5182186234817814,1.0,1013,0.9930107526881721,4.11,1.72,2.95,2.16,4.8086548951009735,3.6,5,0,1,0,1,1,1
1,4,224204,247,0.7679836220584825,0.29959514170040485,1.0,536,0.9897510980966325,4.11,1.72,2.95,2.16,4.99,3.6,5,0,1,0,1,1,1
2,4,224204,247,1.3776293018857826,0.4979757085020243,1.0,966,0.9954815024004519,4.11,1.72,2.95,2.16,4.832770468040039,3.6,5,0,1,0,1,1,1
3,4,224204,247,1.7793661130042282,0.631578947368421,1.0,1264,0.9975298476739399,4.11,1.72,2.95,2.16,4.675814574421477,3.6,5,0,1,0,1,1,1
4,4,224204,247,1.1006494085743341,0.4048582995951417,1.0,763,0.9950911640953717,4.11,1.72,2.95,2.16,4.945269221468111,3.6,5,0,1,0,1,1,1
0,5,156959,227,1.6071521862397187,0.32158590308370044,1.0,824,0.9961708394698086,1.81,1.23,2.84,1.35,4.696234039743048,2.7777777777777777,9,0,1,0,1,0,0
1,5,156959,227,2.1835574895354837,0.42731277533039647,1.0,1108,0.9959632204530163,1.81,1.23,2.84,1.35,4.584811127909692,2.7777777777777777,9,0,1,0,1,0,0
2,5,156959,227,2.375760548933161,0.46255506607929514,1.0,1199,0.9920294297976702,1.81,1.23,2.84,1.35,4.548260757169253,2.7777777777777777,9,0,1,0,1,0,0
3,5,156959,227,1.4876942386228251,0.29955947136563876,1.0,765,0.9886934673366834,1.81,1.23,2.84,1.35,4.71978581814988,2.7777777777777777,9,0,1,0,1,0,0
4,5,156959,227,0.5290298740435401,0.12334801762114538,1.0,264,0.9742765273311897,1.81,1.23,2.84,1.35,4.82,2.7777777777777777,9,0,1,0,1,0,0
0,6,475409,105,0.5756012191607647,1.2,0.0,1464,0.9962842545285648,3.36,1.39,1.56,1.31,3.104091502808116,1.875,8,1,1,0,0,1,1
1,6,475409,105,0.42104167148707744,0.8952380952380953,0.0,1062,0.9955089820359282,3.36,1.39,1.56,1.31,3.17,1.875,8,1,1,0,0,1,1
2,6,475409,105,0.3778409748237833,0.8095238095238095,0.0,949,0.9934418265727472,3.36,1.39,1.56,1.31,3.17,1.875,8,1,1,0,0,1,1
3,6,475409,105,0.4115761375994144,0.8761904761904762,0.0,1038,0.9901402278702892,3.36,1.39,1.56,1.31,3.17,1.875,8,1,1,0,0,1,1
4,6,475409,105,0.6414035072958232,1.3238095238095238,0.0,1628,0.9944467582951548,3.36,1.39,1.56,1.31,3.063979546854096,1.875,8,1,1,0,0,1,1
0,7,599415,246,0.014327302453225228,0.08130081300813008,0.0,31,0.7258064516129032,3.7,1.61,3.72,2.17,3.45,3.7142857142857144,7,1,1,1,1,1,1
1,7,599415,246,0.0012045077283684925,0.06504065040650407,0.0,0,0.0,3.7,1.61,3.72,2.17,3.45,3.7142857142857144,7,1,1,1,1,1,1
2,7,599415,246,0.5073963781353487,0.3861788617886179,1.0,1155,0.9962764719571794,3.7,1.61,3.72,2.17,3.45,3.7142857142857144,7,1,1,1,1,1,1
3,7,599415,246,0.4488392849695119,0.34959349593495936,1.0,1012,0.9963041182682154,3.7,1.61,3.72,2.17,3.45,3.7142857142857144,7,1,1,1,1,1,1
4,7,599415,246,0.2177739963130719,0.2073170731707317,1.0,491,0.9861628525811602,3.7,1.61,3.72,2.17,3.45,3.7142857142857144,7,1,1,1,1,1,1
0,8,574277,102,0.26034126388485,1.196078431372549,0.0,616,0.9955414012738854,4.99,3.88,2.5,3.05,1.7839437339897535,3.3333333333333335,3,1,1,1,0,1,1
1,8,574277,102,0.0020234137881196706,0.19607843137254902,0.0,0,0.0,4.99,3.88,2.5,3.05,1.82,3.3333333333333335,3,1,1,1,0,1,1
2,8,574277,102,0.20753399491882837,1.0,0.0,488,0.9945945945945946,4.99,3.88,2.5,3.05,1.82,3.3333333333333335,3,1,1,1,0,1,1
