Budget,Budget Tolerance,Communication,Average Team Experience,Team Size,Deadline,Cost,Days Taken,Budget Success,Deadline Success,Team Success,Success
1900000,1.29,4,3.65,17,663,3010196,584,0,1,0,0
3800000,1.11,2,9.39,7,389,2365098,478,1,0,0,0
5100000,1.02,1,6.34,7,381,1529080,424,1,0,0,0
7800000,1.23,0,7.29,19,907,10892166,1053,0,0,0,0
1100000,1.44,1,2.04,5,517,736187,598,1,0,0,0
5800000,1.48,3,3.24,17,220,572844,119,1,1,0,0
7100000,1.02,0,14.12,3,382,1137495,393,1,0,0,0
300000,1.27,0,3.86,8,272,366552,155,1,1,0,1
6600000,1.49,1,3.26,20,427,1614037,246,1,1,0,0
4200000,1.24,1,2.22,2,809,253834,544,1,1,0,0
6700000,1.24,0,13.25,12,263,2169932,234,1,1,0,0
5200000,1.4,2,10.58,16,253,1435745,131,1,1,0,0
6100000,1.12,4,8.08,19,875,5102530,513,1,1,0,0
700000,1.45,1,12.93,7,293,1422053,240,0,1,0,0
5400000,1.13,3,6.05,14,562,3777797,547,1,1,0,1
8600000,1.44,2,10.69,17,319,1960567,166,1,1,0,1
1500000,1.11,3,15.21,7,316,3250369,444,0,0,1,0
5100000,1.07,0,14.55,20,928,17514678,873,0,1,0,0
2800000,1.26,3,15.27,17,896,13259844,786,0,1,1,0
9600000,1.38,3,1.66,2,460,163368,433,1,1,0,1
1500000,1.21,3,14.76,19,929,22786354,1203,0,0,1,0
8500000,1.26,3,14.11,5,998,4975112,1025,1,0,1,0
7500000,1.44,3,13.28,19,538,7678391,501,1,1,1,1
1500000,1.1,0,10.47,15,962,8200905,854,0,1,0,0
8900000,1.32,4,4.33,10,615,1613358,418,1,1,0,1
8700000,1.43,0,12.94,12,504,3660038,346,1,1,0,0
5600000,1.14,1,3.91,15,666,4029484,897,1,0,0,0
5500000,1.14,3,2.04,8,433,1104235,555,1,0,0,0
8700000,1.41,3,6.21,17,869,7935199,1015,1,0,0,0
9200000,1.12,2,8.57,6,453,1474610,394,1,1,0,0
7200000,1.43,3,14.94,5,929,2872517,578,1,1,1,1
5900000,1.12,4,14.8,13,528,3309755,275,1,1,1,1
7300000,1.19,2,5.34,13,829,3340016,630,1,1,0,1
2800000,1.25,0,11.49,9,988,8063928,1066,0,0,0,0
1800000,1.26,1,5.78,8,325,1066546,325,1,1,0,1
8500000,1.23,3,15.14,19,826,14068557,749,0,1,1,0
5800000,1.27,4,11.56,20,417,9240094,594,0,0,1,0
6400000,1.21,3,15.74,13,934,11629515,979,0,0,1,0
8700000,1.17,2,12.07,11,848,5292750,606,1,1,0,1
9300000,1.4,3,14.76,2,877,2007053,959,1,0,1,0
9200000,1.42,3,11.03,18,543,11550758,793,1,0,0,0
3500000,1.3,3,4.95,9,541,2447676,721,1,0,0,0
5700000,1.08,3,5.75,19,822,6123802,708,1,1,0,0
100000,1.45,1,11.74,17,916,10670262,904,0,1,0,0
4100000,1.1,4,14.29,13,743,6611321,614,0,1,1,0
9500000,1.11,3,4.81,6,597,1553517,759,1,0,0,0
4000000,1.15,0,3.38,5,718,1264865,774,1,0,0,0
